統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
逆飛び込み|さかとびこみ|headlong dive; header; plunge
左官屋|さかんや|plasterer
下げ|さげ|lowering; sinking; bringing down; letting down
下げ|さげ|depreciation; price fall
下げ|さげ|punch line (of a rakugo story)
下げ|さげ|sword strap
提げ|さげ|lowering; sinking; bringing down; letting down
提げ|さげ|depreciation; price fall
提げ|さげ|punch line (of a rakugo story)
提げ|さげ|sword strap
垂げ|さげ|lowering; sinking; bringing down; letting down
垂げ|さげ|depreciation; price fall
垂げ|さげ|punch line (of a rakugo story)
垂げ|さげ|sword strap
ささくれ||fine split; hangnail
差し|さし|between (e.g. two people); face to face
差し|さし|hindrance; impediment
差し|さし|arrhythmic section of recitative in noh music
差し|さし|prefix used for stress or emphasis
差し|さし|counter for traditional dance songs
指し|さし|between (e.g. two people); face to face
指し|さし|hindrance; impediment
指し|さし|arrhythmic section of recitative in noh music
指し|さし|prefix used for stress or emphasis
指し|さし|counter for traditional dance songs
差|さし|between (e.g. two people); face to face
差|さし|hindrance; impediment
差|さし|arrhythmic section of recitative in noh music
差|さし|prefix used for stress or emphasis
差|さし|counter for traditional dance songs
指|さし|between (e.g. two people); face to face
指|さし|hindrance; impediment
指|さし|arrhythmic section of recitative in noh music
指|さし|prefix used for stress or emphasis
指|さし|counter for traditional dance songs
サシ||between (e.g. two people); face to face
サシ||hindrance; impediment
サシ||arrhythmic section of recitative in noh music
サシ||prefix used for stress or emphasis
サシ||counter for traditional dance songs
差し手争い|さしてあらそい|struggling to grab hold of one's opponent's belt with one's dominant hand
さっくり||lightly; gently
さっくり||(breaking apart) easily
サックリ||lightly; gently
サックリ||(breaking apart) easily
寂しさ|さびしさ|(feeling of) loneliness; desolation
騒がせる|さわがせる|to disturb; to alarm; to agitate; to cause anxiety (to); to trouble
騒がれる|さわがれる|to be made much of; to be lionized; to be sought after
算|さん|divining sticks
算|さん|counting; calculation
燦|さん|brilliant; resplendant
散じる|さんじる|to scatter; to disperse
散じる|さんじる|to spend on; to squander (e.g. one's fortune)
散じる|さんじる|to chase away (e.g. one's worries); to kill (pain)
在社|ざいしゃ|to be in one's office; to work for a company
息絶える|いきたえる|to die; to lay down life's burden
吐物|とぶつ|vomit; vomitus
強皮症|きょうひしょう|scleroderma
鞏皮症|きょうひしょう|scleroderma
賭物|とぶつ|bet; stakes
賭物|のりもの|bet; stakes
頭をもたげる|あたまをもたげる|to raise one's head; to come to the fore; to rise into importance; to gain strength; to rear its head
頭を擡げる|あたまをもたげる|to raise one's head; to come to the fore; to rise into importance; to gain strength; to rear its head
地に足の着いた|ちにあしのついた|realistic; practical
記憶をたどる|きおくをたどる|to reach back into one's memory; to search one's mind; to recall
記憶を辿る|きおくをたどる|to reach back into one's memory; to search one's mind; to recall
サイキック||psychic
腰を抜かす|こしをぬかす|to dislocate one's back
腰を抜かす|こしをぬかす|to be unable to stand up due to fear or surprise
腰抜かす|こしぬかす|to dislocate one's back
腰抜かす|こしぬかす|to be unable to stand up due to fear or surprise; to lose one's legs
目を配る|めをくばる|to keep an eye on; to keep a watchful eye on
天津飯|てんしんはん|crab omelet on rice
海鮮|かいせん|seafood
投資銀行|とうしぎんこう|investment bank
講義摘要|こうぎてきよう|syllabus
無|ぶ|un-; non-
無|ぶ|bad ...; poor ...
不|ぶ|un-; non-
不|ぶ|bad ...; poor ...
鴨鍋|かもなべ|dish of duck meat cooked with cabbage, spring onions, tofu, etc.
鴨肉|かもにく|duck meat; duck flesh; canard viande
鴨葱|かもねぎ|along comes a sucker just begging to be parted from his money
鴨葱|かもねぎ|double stroke of good luck; Perfect timing!; How convenient (for you to show up)!
鴨ねぎ|かもねぎ|along comes a sucker just begging to be parted from his money
鴨ねぎ|かもねぎ|double stroke of good luck; Perfect timing!; How convenient (for you to show up)!
鴨ネギ|かもネギ|along comes a sucker just begging to be parted from his money
鴨ネギ|かもネギ|double stroke of good luck; Perfect timing!; How convenient (for you to show up)!
野鴨|のがも|wild duck
雑題|ざつだい|miscellaneous problems; miscellaneous subjects (themes)
座持ち|ざもち|entertaining guests
騒めき|ざわめき|stir; commotion; noise
残土|ざんど|earth dug out of a construction site
残尿感|ざんにょうかん|feeling that one's bladder has not been completely emptied
ざんばら髪|ざんばらがみ|loose and disheveled hair
視学官|しがくかん|(prefectural) school inspector
試供|しきょう|offering something free as a promotion
彼とか|かんとか|something; something or other; so-and-so
カントカ||something; something or other; so-and-so
由々しき|ゆゆしき|grave; serious; alarming
由由しき|ゆゆしき|grave; serious; alarming
序でながら|ついでながら|incidentally; taking the opportunity; while (you) are at it; on the occasion
序ながら|ついでながら|incidentally; taking the opportunity; while (you) are at it; on the occasion
イマージュ||image
カフェラテ||cafe latte; latte
カフェラッテ||cafe latte; latte
カフェ・ラテ||cafe latte; latte
カフェ・ラッテ||cafe latte; latte
ランダムウォーク||random walk
ランダムウオーク||random walk
ランダム・ウォーク||random walk
ランダム・ウオーク||random walk
燗をつける|かんをつける|to warm up sake
燗|かん|warming up sake; warmed sake
選好|せんこう|preference
放課|ほうか|dismissal of a class
目力|めじから|the ability to convey strong emotions with his eyes (for an actor); eyes that convey a strong sense of purpose
海老尾|えびお|goldfish with a shrimp-like tail
海老尾|えびお|head of a shamisen or lute (bent back like a shrimp's tail)
海老尾|かいろうび|head of a shamisen or lute (bent back like a shrimp's tail)
蝦尾|えびお|goldfish with a shrimp-like tail
蝦尾|えびお|head of a shamisen or lute (bent back like a shrimp's tail)
薩摩琵琶|さつまびわ|Satsuma biwa; Satsuma lute
糸倉|いとぐら|pegbox (of a shamisen, etc.)
糸蔵|いとぐら|pegbox (of a shamisen, etc.)
撥皮|ばちかわ|pick-guard (protective patch on a shamisen, etc.)
撥面|ばちめん|pick-guard (protective patch on a biwa, etc.)
胴掛け|どうかけ|slip-guard (on one side of the body of a shamisen)
胴掛け|どうがけ|slip-guard (on one side of the body of a shamisen)
胴掛|どうかけ|slip-guard (on one side of the body of a shamisen)
胴掛|どうがけ|slip-guard (on one side of the body of a shamisen)
胴当て|どうあて|slip-guard (on one side of the body of a shamisen)
胴当|どうあて|slip-guard (on one side of the body of a shamisen)
上駒|かみごま|nut (on the head of a shamisen, supporting the second and third strings)
上駒|かみこま|nut (on the head of a shamisen, supporting the second and third strings)
触り金|さわりがね|nut (on the head of a shamisen, supporting the second and third strings)
転手|てんじゅ|tuning peg (of a shamisen, etc.)
点手|てんじゅ|tuning peg (of a shamisen, etc.)
伝手|てんじゅ|tuning peg (of a shamisen, etc.)
天柱|てんじ|tuning peg (of a shamisen, etc.)
転軫|てんじん|tuning peg (of a shamisen, etc.)
柱体|ちゅうたい|cylinder; prism
柱|ちゅう|bridge (of a koto, etc.)
柱|ちゅう|cylinder; prism
柱|じ|bridge (of a koto, etc.)
柱|じゅう|fret (of a biwa)
清笛|しんてき|bamboo flute used in Qing music
竿|かん|counter for poles, rods, etc.
一竿|いっかん|one pole (esp. used for fishing poles); one rod
あられ餅|あられもち|roasted mochi pieces (usu. flavoured with soy sauce, or sweetened with sugar, etc.)
霰餅|あられもち|roasted mochi pieces (usu. flavoured with soy sauce, or sweetened with sugar, etc.)
救急隊員|きゅうきゅうたいいん|rescue worker; emergency rescue team member
法人格|ほうじんかく|legal personality; juridical personality; corporate status; non-person legal entity
交流会議|こうりゅうかいぎ|exchange conference (e.g. cultural, educational, etc.); exchange meeting
資金運用|しきんうんよう|fund management; fund operation
応募作品|おうぼさくひん|work sent to a competition; competition entry
銘じる|めいじる|to stamp; to engrave; to inscribe
味噌たき|みそたき|annual event of miso-making
味噌たき|みそたき|first steps of miso making, from simmering the beans to fermentation
味噌炊き|みそたき|annual event of miso-making
味噌炊き|みそたき|first steps of miso making, from simmering the beans to fermentation
農商務省|のうしょうむしょう|Ministry of Agriculture and Commerce (Meiji-Taisho)
対価型セクハラ|たいかがたセクハラ|quid pro quo sexual harassment
代償型セクハラ|だいしょうがたセクハラ|quid pro quo sexual harassment
