飛蝗目|ばったもく|Orthoptera
浮鮴|うきごり|floating goby (Gymnogobius petschiliensis)
浮鮴|うきごり|Gymnogobius opperiens (fish)
浮鮴|うきごり|isaza goby (Gymnogobius isaza)
ウキゴリ||common freshwater goby (Gymnogobius urotaenia)
ウキゴリ||floating goby (Gymnogobius petschiliensis)
ウキゴリ||Gymnogobius opperiens (fish)
ウキゴリ||isaza goby (Gymnogobius isaza)
墨浮鮴|すみうきごり|floating goby (Gymnogobius petschiliensis)
スミウキゴリ||floating goby (Gymnogobius petschiliensis)
イサザ||isaza goby (Gymnogobius isaza)
イサザ||ice goby (Leucopsarion petersii)
イサザ||Neomysis intermedia
素魚|しろうお|ice goby (Leucopsarion petersii)
白魚|しろうお|ice goby (Leucopsarion petersii)
シロウオ||ice goby (Leucopsarion petersii)
イサザアミ||Neomysis awatschensis (shrimp)
イサザアミ||Neomysis intermedia (shrimp)
クロイサザアミ||Neomysis awatschensis (shrimp)
ジンライム||gin and lime
ジン・ライム||gin and lime
縞浮鮴|しまうきごり|Gymnogobius opperiens (var. of goby)
シマウキゴリ||Gymnogobius opperiens (var. of goby)
鮴|ごり|fish of the genus Rhinogobius
鮴|ごり|dusky tripletooth goby (Tridentiger obscurus)
鮴|ごり|common freshwater goby (Gymnogobius urotaenia)
鮴|ごり|Japanese fluvial sculpin (fish, Cottus pollux)
ゴリ||fish of the genus Rhinogobius
ゴリ||dusky tripletooth goby (Tridentiger obscurus)
ゴリ||common freshwater goby (Gymnogobius urotaenia)
ゴリ||Japanese fluvial sculpin (fish, Cottus pollux)
ミッチェルオオトカゲ||Mitchell's water monitor (Varanus mitchelli, species of carnivorous monitor lizard native to Australia)
アケボノヒメオオトカゲ||northern ridge-tailed monitor (Varanus primordius, species of carnivorous monitor lizard native to the Northern Territory of Australia); blunt-spined goanna
ハシゴオオトカゲ||banded tree monitor (Varanus scalaris, species of carnivorous monitor lizard native to northwestern Australia); spotted tree goanna
サビイロオオトカゲ||rusty monitor (Varanus semiremex, species of carnivorous monitor lizard native to the east coast of Queensland, Australia)
耳の痛い|みみのいたい|being painfully-true (e.g. reprimand); making one's ears burn; striking home (e.g. remark)
土取場|どとりば|borrowing pit (in flood prevention)
当期純利益|とうきじゅんりえき|current net income; net income for the year; current net earnings; current net profit; current term net income; current term net profit; net profit for the year
アンゴラ共和国|アンゴラきょうわこく|Republic of Angola
南アフリカ共和国|みなみアフリカきょうわこく|Republic of South Africa
ヨジリオオトカゲ||Timor monitor (Varanus timorensis, species of small carnivorous monitor lizard native to Indonesia); spotted tree monitor
尻棘大蜥蜴|しりとげおおとかげ|black-headed monitor (Varanus tristis, small species of carnivorous monitor lizard native to Australia); freckled monitor
シリトゲオオトカゲ||black-headed monitor (Varanus tristis, small species of carnivorous monitor lizard native to Australia); freckled monitor
イワヒメオオトカゲ||Storr's pygmy monitor (Varanus storri, species of small carnivorous monitor lizard native to Australia); Storr's goanna; Storr's monitor
鼻太大蜥蜴|はなぶとおおとかげ|crocodile monitor (Varanus salvadorii, species of carnivorous monitor lizard found in New Guinea); Salvadori's monitor; Papua monitor; artellia
ハナブトオオトカゲ||crocodile monitor (Varanus salvadorii, species of carnivorous monitor lizard found in New Guinea); Salvadori's monitor; Papua monitor; artellia
グレイオオトカゲ||Gray's monitor (Varanus olivaceus, species of carnivorous monitor lizard from Luzon and the Catanduanes Islands in the Philippines)
ノドジロオオトカゲ||rock monitor (Varanus albigularis, species of carnivorous monitor lizard found in southern Africa); legavaan; white-throated monitor
サバンナ大蜥蜴|サバンナおおとかげ|savanna monitor (Varanus exanthematicus, species of carnivorous monitor lizard native to sub-Saharan Africa); Bosc's monitor
サバンナオオトカゲ||savanna monitor (Varanus exanthematicus, species of carnivorous monitor lizard native to sub-Saharan Africa); Bosc's monitor
尼羅大蜥蜴|ナイルおおとかげ|Nile monitor (Varanus niloticus, species of carnivorous monitor lizard native to sub-Saharan Africa); water leguaan
ナイルオオトカゲ||Nile monitor (Varanus niloticus, species of carnivorous monitor lizard native to sub-Saharan Africa); water leguaan
亜皮西尼|あびしにあ|Abyssinia (Empire of Ethiopia, 980 B.C. to 1974)
アビシニア||Abyssinia (Empire of Ethiopia, 980 B.C. to 1974)
一二を争う|いちにをあらそう|to compete for the first place; to be one of the best
地付き|じつき|native
クレイモア||claymore
脱出口|だっしゅつこう|escape hatch; escape door
取っ掛かり|とっかかり|beginning; clue; starting point
取っかかり|とっかかり|beginning; clue; starting point
取っ掛り|とっかかり|beginning; clue; starting point
五十円玉|ごじゅうえんだま|50 yen coin
宮門|きゅうもん|gate of a palace
宮闕|きゅうけつ|Imperial palace
月暈|つきがさ|lunar halo
月暈|げつうん|lunar halo
月がさ|つきがさ|lunar halo
文言葉|ふみことば|language used when writing letters
イソップ童話|イソップどうわ|Aesop's Fables
元気印|げんきじるし|mark of liveliness; sign of activity
無悪不造|むあくふぞう|Do as much evil as one wants
現生|げんしょう|present world
現生|げんせい|living in the present
良質紙|りょうしつし|good quality paper
沖波|おきなみ|offing wave; deep water wave
沖浪|おきなみ|offing wave; deep water wave
大儀そうに|たいぎそうに|wearily
時計塔|とけいとう|clock tower
じゃ無さそう|じゃなさそう|does not seem (to be)
荷重減衰|かじゅうげんすい|weight decay
曲用|きょくよう|declension
赤がかる|あかがかる|to be tinged red; to be reddish
赤掛かる|あかがかる|to be tinged red; to be reddish
イエメンオオトカゲ||Yemen monitor (Varanus yemenensis, species of carnivorous monitor lizard found at the base of the Tihama mountains along the western coast of Yemen)
サバクオオトカゲ||Desert monitor (Varanus griseus, species of carnivorous monitor lizard found in North Africa and western Asia)
水大蜥蜴|みずおおとかげ|water monitor (Varanus salvator, species of carnivorous monitor lizard common from Sri Lanka in the west to the Philippines in the east); common water monitor
ミズオオトカゲ||water monitor (Varanus salvator, species of carnivorous monitor lizard common from Sri Lanka in the west to the Philippines in the east); common water monitor
ペレンティーオオトカゲ||perentie (Varanus giganteus, largest species of carnivorous monitor lizard native to Australia)
スナオオトカゲ||Gould's monitor (Varanus gouldii, species of carnivorous monitor lizard native to Australia); sand goanna; sand monitor; Gould's goanna
メルテンスオオトカゲ||Mertens' water monitor (Varanus mertensi, species of carnivorous monitor lizard found in northern Australia)
メルテンスモニター||Mertens' water monitor (Varanus mertensi, species of carnivorous monitor lizard found in northern Australia)
ヒャクメオオトカゲ||Argus monitor (Varanus panoptes, species of carnivorous monitor lizard found in northern Australia and southern New Guinea); yellow-spotted monitor
ローゼンバーグオオトカゲ||Heath monitor (Varanus rosenbergi, species of carnivorous monitor lizard found in Australia); Rosenberg's monitor
キューバリブレ||cuba libre (cocktail)
キューバリーブレ||cuba libre (cocktail)
スペンサーオオトカゲ||Spencer's monitor (Varanus spenceri, species of carnivorous monitor lizard native to northern Australia); Spencer's goanna
レースモニター||lace monitor (Varanus varius, species of carnivorous monitor lizard found in eastern Australia); lace goanna
レース・モニター||lace monitor (Varanus varius, species of carnivorous monitor lizard found in eastern Australia); lace goanna
車速|しゃそく|vehicle speed; speed
ピローマネー||pillow money; tip left by the pillow for the room maid
ピロー・マネー||pillow money; tip left by the pillow for the room maid
ピローグ||pirogue (dugout canoe)
何だこれは|なんだこれは|what on Earth is this?
書類ホルダー|しょるいホルダー|document holder
枕銭|まくらぜに|pillow money; pillow tip; tip left by the pillow for the room maid
枕銭|まくらせん|pillow money; pillow tip; tip left by the pillow for the room maid
ジンバブエ共和国|ジンバブエきょうわこく|Republic of Zimbabwe
ザンビア共和国|ザンビアきょうわこく|Republic of Zambia
ケニア共和国|ケニアきょうわこく|Republic of Kenya
モザンビーク共和国|モザンビークきょうわこく|Republic of Mozambique
安康|あんこう|calm and peaceful period of time
仏種|ぶっしゅ|seed of Buddhahood
仏種|ぶっしゅ|something that makes it possible to attain Buddhahood
仏種|ぶっしゅ|teaching of Buddha which make it possible to be enlightened
佛種|ぶっしゅ|seed of Buddhahood
佛種|ぶっしゅ|something that makes it possible to attain Buddhahood
佛種|ぶっしゅ|teaching of Buddha which make it possible to be enlightened
感情に走る|かんじょうにはしる|act on one's emotions; be carried away by one's feelings; get (become) emotional
感情にはしる|かんじょうにはしる|act on one's emotions; be carried away by one's feelings; get (become) emotional
冷静になる|れいせいになる|to collect oneself; to chill out; to cool off; to recover oneself
冷静に成る|れいせいになる|to collect oneself; to chill out; to cool off; to recover oneself
ニザダイ科|ニザダイか|Acanthuridae; family of marine tropical surgeonfishes, tangs, and unicornfishes
ナンヨウハギ属|ナンヨウハギぞく|Paracanthurus (genus in the family Acanthuridae whose sole member is the palette surgeonfish)
トリパノソーマ||trypanosome
トリパノゾーマ||trypanosome
晩食|ばんしょく|supper; dinner
比較解剖学|ひかくかいぼうがく|comparative anatomy
皮目|ひもく|lenticel
粘度計|ねんどけい|viscometer
粘性率|ねんせいりつ|viscosity (coefficient); dynamic viscosity (coefficient)
脳波計|のうはけい|electroencephalograph; EEG
ぶら下がり取材|ぶらさがりしゅざい|doorstop interview; doorstep interview; on-the-move interview; informal interview in which reporters surround a public figure and prod him for an off-the-cuff response
