尾根|おね|(mountain) ridge; spur
奔放不羈|ほんぽうふき|free-spirited and uninhibited
奔流|ほんりゅう|torrent; violently rushing stream; tumbling (water)
本|ほん|book; volume; script
本|ほん|this; present
本|ほん|main; head
本|ほん|real; regular
本|ほん|counter for long cylindrical things; counter for films, TV shows, etc.; counter for goals, home runs, etc.; counter for telephone calls
本案|ほんあん|this plan
本位|ほんい|standard; basis; principle
本意|ほんい|one's real intent; one's real motive; one's real hopes; one's original purpose
本意|ほい|one's real intent; one's real motive; one's real hopes; one's original purpose
本員|ほんいん|this member (of an assembly)
本院|ほんいん|this institution; the main institution
本営|ほんえい|headquarters
本影|ほんえい|umbra
本屋|ほんおく|principal residence
本屋|ほんや|bookstore; bookshop
本屋|ほんや|publisher
本屋|ほんや|main building
本音|ほんね|real intention; motive; true opinion; what one really thinks
本家|ほんけ|head house (family); birthplace; originator
本家|ほけ|head house (family); birthplace; originator
本家|いや|head house (family); birthplace; originator
本家|ほんいえ|head house (family); birthplace; originator
本家本元|ほんけほんもと|original home; birthplace; originator
本科|ほんか|regular course; this lesson
本会議|ほんかいぎ|plenary session; regular session
本街道|ほんかいどう|main road
本格|ほんかく|original method or procedure
本格|ほんかく|serious; orthodox; classical; genuine
本格化|ほんかくか|regularization; regularisation; getting up speed; proceeding at full tilt
本格的|ほんかくてき|genuine; real; regular; normal; typical; standard; orthodox
本格的|ほんかくてき|full-scale; full-blown; all-out
本格的|ほんかくてき|full-fledged; professional
本管|ほんかん|main pipe
本館|ほんかん|main building
本願|ほんがん|Amida Buddha's original vow; long-cherished desire
本気|ほんき|seriousness; earnestness; truth; sanctity
本義|ほんぎ|true meaning; underlying principle
本拠|ほんきょ|stronghold; inner citadel; base; headquarters
本拠地|ほんきょち|stronghold; inner citadel; base; headquarters
本業|ほんぎょう|principal occupation; core business
本局|ほんきょく|main office
本筋|ほんすじ|main thread (of a story)
本金庫|ほんきんこ|main depository
本契約|ほんけいやく|contract (entered into on the basis of a promise or previous agreement); formal agreement; contract at hand
本結び|ほんむすび|square knot
本建築|ほんけんちく|permanent construction
本絹|ほんけん|pure silk
本源|ほんげん|origin; root; cause; principle
本校|ほんこう|main school; this school
本稿|ほんこう|this manuscript
本降り|ほんぶり|regular rainfall; downpour; raining in earnest
本国|ほんごく|one's own country
本国|ほんごく|home country (as opposed to a colony)
本国|ほんごく|country of one's ancestors
本国人|ほんごくじん|native; citizen
本腰|ほんごし|strenuous effort; earnestness; seriousness
本妻|ほんさい|one's legal wife
本旨|ほんし|main object; principal object; true aim
本紙|ほんし|this newspaper
本試験|ほんしけん|final examination
本誌|ほんし|this magazine
本字|ほんじ|Chinese character; unsimplified (original form of) a Chinese character
本質|ほんしつ|essence; true nature; substance; reality
本社|ほんしゃ|head office; main office; headquarters; parent company
本社|ほんしゃ|main shrine
本社|ほんしゃ|this company; this shrine
本社|ほんじゃ|main shrine
本州|ほんしゅう|Honshu (largest of the four main islands of Japan)
本署|ほんしょ|police headquarters; main office; this office
本書|ほんしょ|text; script; this book
本省|ほんしょう|this ministry; the home office
本章|ほんしょう|this chapter
本場|ほんば|home; habitat; center; centre; best place
本場|ほんば|authentic; genuine
本場所|ほんばしょ|official sumo tournament (six per year)
本場物|ほんばもの|genuine article
本職|ほんしょく|principal occupation; main job
本職|ほんしょく|professional; an expert; specialist
本職|ほんしょく|I (of a government official, etc.); me
本食い虫|ほんくいむし|bookworm (literal and figurative)
本心|ほんしん|true feelings
本人|ほんにん|the person himself
本陣|ほんじん|troop headquarters; stronghold
本陣|ほんじん|inn designated for use by a daimyo (Edo period)
本数|ほんすう|number of long thin objects (movies, TV programs, baseball games, etc.) (programmes)
本性|ほんしょう|true character; real nature
本性|ほんせい|true character; real nature
本籍|ほんせき|one's registered domicile (as recorded in the family register); one's legal domicile (as opposed to where one lives)
本籍地|ほんせきち|permanent domicile
本節|ほんせつ|this chapter; this passage; this section
本節|ほんぶし|top-quality dried bonito
本線|ほんせん|main line
本船|ほんせん|mother ship; this ship
本船渡し|ほんせんわたし|free on board (i.e. seller pays to have goods placed on a ship); FOB
本然|ほんぜん|disposition; nature; natural; inborn; inherent; innate
本然|ほんねん|disposition; nature; natural; inborn; inherent; innate
本膳|ほんぜん|regular dinner
本訴|ほんそ|original suit; main lawsuit; main action
本草|ほんぞう|plants; medicinal herbs
本草学|ほんぞうがく|study of plants, minerals, and animals for use in Chinese medicine; herbalism; pharmacognosy
本葬|ほんそう|formal funeral
本則|ほんそく|rules; original rules
本尊|ほんぞん|principal object of worship at a temple (usu. a buddha or bodhisattva); principal image; idol
本尊|ほんぞん|the man himself; the person at the heart of the matter
本体|ほんたい|substance; real form
本体|ほんたい|main part; main unit; body (of a machine)
本体|ほんたい|this machine; this appliance
本体|ほんたい|object of worship (at a shrine, temple, etc.)
本体|ほんたい|noumenon
本体|ほんたい|base price; pre-tax price
本体|ほんだい|substance; real form
本体|ほんだい|main part; main unit; body (of a machine)
本体|ほんだい|this machine; this appliance
本体|ほんだい|object of worship (at a shrine, temple, etc.)
本体|ほんだい|noumenon
本体|ほんだい|base price; pre-tax price
本隊|ほんたい|main body (of an army); main force
本隊|ほんたい|these troops
本題|ほんだい|main question; real issue at hand
本棚|ほんだな|bookshelves; bookshelf; bookcase
本朝|ほんちょう|this land; our country; Imperial Court
本調子|ほんちょうし|normal condition
本調子|ほんちょうし|keynote; proper key
本通り|ほんどおり|main street; boulevard
本店|ほんてん|head office; flagship store; main store
本店|ほんてん|this store
本店|ほんだな|head office; flagship store; main store
本店|ほんだな|this store
本殿|ほんでん|main shrine; inner sanctuary
本島|ほんとう|main island
本島|ほんとう|this island
本盗|ほんとう|stealing home
本当|ほんとう|truth; reality; actuality; fact
本当|ほんとう|proper; right; correct; official
本当|ほんとう|genuine; authentic; natural; veritable
本当|ほんと|truth; reality; actuality; fact
本当|ほんと|proper; right; correct; official
本当|ほんと|genuine; authentic; natural; veritable
本當|ほんとう|truth; reality; actuality; fact
本當|ほんとう|proper; right; correct; official
本當|ほんとう|genuine; authentic; natural; veritable
本當|ほんと|truth; reality; actuality; fact
本當|ほんと|proper; right; correct; official
本當|ほんと|genuine; authentic; natural; veritable
ホント||truth; reality; actuality; fact
ホント||proper; right; correct; official
ホント||genuine; authentic; natural; veritable
ホントー||truth; reality; actuality; fact
ホントー||proper; right; correct; official
ホントー||genuine; authentic; natural; veritable
ホントウ||truth; reality; actuality; fact
ホントウ||proper; right; correct; official
ホントウ||genuine; authentic; natural; veritable
本堂|ほんどう|main temple building; nave
本道|ほんどう|highway; main road; the right road
本読み|ほんよみ|script reading; scenario reading
本読み|ほんよみ|avid reader; bookworm
本読み|ほんよみ|reading a book; reading books
本曇り|ほんぐもり|low-cloud overcast
本日|ほんじつ|today
本年|ほんねん|this (current) year
本能|ほんのう|instinct
本箱|ほんばこ|bookcase
本番|ほんばん|performance; take; going before an audience or on-air
本番|ほんばん|game; season; crucial moment
本番|ほんばん|actual sexual intercourse (i.e. not simulated); penetration
本舞台|ほんぶたい|main stage; public place
本部|ほんぶ|headquarters; head office; main office
本物|ほんもの|genuine article; real thing; real deal
本俸|ほんぽう|regular salary; basic salary; full pay
本縫い|ほんぬい|final stitching
本邦|ほんぽう|this country; our country
本望|ほんもう|long-cherished ambition; satisfaction
本務|ほんむ|duty; regular business
本名|ほんみょう|real name
本名|ほんめい|real name
本命|ほんめい|favorite (to win); favourite; likely winner
本命|ほんめい|one's heart's desire; first choice
本木|もとき|original stock
本来|ほんらい|originally; primarily
本来|ほんらい|essentially; naturally; by nature; in (and of) itself
本来|ほんらい|proper; legal
本流|ほんりゅう|main course (of a river)
本流|ほんりゅう|mainstream; main current (e.g. of thought)
本領|ほんりょう|speciality; specialty; characteristic
本領|ほんりょう|proper function; duty
本領|ほんりょう|original fief
本塁|ほんるい|base; stronghold; main fort
本塁|ほんるい|home base; home plate
本塁打|ほんるいだ|home run
本論|ほんろん|main discourse; this subject; body (of a speech)
本籤|ほんくじ|first prize in a private lottery
翻す|ひるがえす|to turn over; to turn around
翻す|ひるがえす|to change (one's mind); to reverse (one's decision); to take back (one's words)
翻す|ひるがえす|to fly (flag, etc.); to wave (skirt, cape, etc.)
飜す|ひるがえす|to turn over; to turn around
飜す|ひるがえす|to change (one's mind); to reverse (one's decision); to take back (one's words)
飜す|ひるがえす|to fly (flag, etc.); to wave (skirt, cape, etc.)
翻る|ひるがえる|to flutter (in the wind); to wave; to flap; to fly
翻る|ひるがえる|to turn over; to flip over
翻る|ひるがえる|to suddenly change (attitude, opinion, etc.); to suddenly switch; to alter; to flip
飜る|ひるがえる|to flutter (in the wind); to wave; to flap; to fly
飜る|ひるがえる|to turn over; to flip over
飜る|ひるがえる|to suddenly change (attitude, opinion, etc.); to suddenly switch; to alter; to flip
翻案|ほんあん|adaptation (of story, text)
翻意|ほんい|changing one's mind
翻字|ほんじ|transliteration
翻車魚|まんぼう|ocean sunfish (Mola mola)
マンボウ||ocean sunfish (Mola mola)
翻訳|ほんやく|translation
翻訳|ほんやく|de-encryption; deciphering
翻訳|ほんやく|rendering
飜訳|ほんやく|translation
飜訳|ほんやく|de-encryption; deciphering
飜訳|ほんやく|rendering
翻訳家|ほんやくか|translator
翻訳権|ほんやくけん|translation rights (to a book)
翻訳者|ほんやくしゃ|translator
翻弄|ほんろう|trifling with; toying with; playing with; making sport of; making fun of; leading around by the nose
翻弄|ほんろう|tossing about (a ship)
飜弄|ほんろう|trifling with; toying with; playing with; making sport of; making fun of; leading around by the nose
飜弄|ほんろう|tossing about (a ship)
凡そ|およそ|about; roughly; approximately
凡そ|およそ|generally; on the whole; as a rule
凡そ|およそ|completely; quite; entirely; altogether; totally; not at all (with neg. verb)
凡そ|およそ|outline; gist
凡フライ|ぼんフライ|easy fly
凡眼|ぼんがん|(through) a layman's eyes
凡器|ぼんき|ordinary talent
凡愚|ぼんぐ|common person; foolish commoner
凡骨|ぼんこつ|ordinary person
凡才|ぼんさい|mediocrity; ordinary ability
凡作|ぼんさく|poor piece of writing
凡策|ぼんさく|commonplace policy
凡試合|ぼんしあい|dull match; dull game
凡失|ぼんしつ|common mistake
凡手|ぼんしゅ|mediocre ability; person of ordinary skills
凡庶|ぼんしょ|common people
凡書|ぼんしょ|ordinary book; ordinary handwriting
凡小|ぼんしょう|small and of mediocre talent
凡常|ぼんじょう|ordinary; common
凡戦|ぼんせん|dull game
凡僧|ぼんそう|unranked priest; ordinary priest
凡僧|ぼんそう|foolish monk
凡僧|ぼんぞう|unranked priest; ordinary priest
凡俗|ぼんぞく|mediocrity; the masses; ordinary run of men
凡打|ぼんだ|poor batting
凡退|ぼんたい|out in 1-2-3 order
凡庸|ぼんよう|mediocre; ordinary; commonplace; banal
凡流|ぼんりゅう|ordinary style
凡慮|ぼんりょ|ordinary minds; ordinary men
凡例|はんれい|explanatory notes (at the start of a book); introductory remarks; usage guide (e.g. of a dictionary)
凡例|はんれい|legend (on maps, drawings, etc.)
