上右|うえみぎ|upper right (corner)
ウルシ科|ウルシか|Anacardiaceae; cashew or sumac family
モチノキ科|モチノキか|Aquifoliaceae (plant family); holly
黐木科|もちのきか|Aquifoliaceae (plant family); holly
黐の木科|もちのきか|Aquifoliaceae (plant family); holly
ウコギ科|ウコギか|Araliaceae; family of flowering plants
メギ科|メギか|Berberidaceae (plant family); barberry
カバノキ科|カバノキか|Betulaceae; birch family
樺木科|かばのきか|Betulaceae; birch family
樺の木科|かばのきか|Betulaceae; birch family
スイカズラ科|スイカズラか|Caprifoliaceae; family of flowering plants comprising the honeysuckles
ニシキギ科|ニシキギか|Celastraceae (plant family); bittersweet
カツラ科|カツラか|Cercidiphyllaceae; monotypic plant family containing the katsura trees
桂科|かつらか|Cercidiphyllaceae; monotypic plant family containing the katsura trees
リョウブ科|リョウブか|Clethraceae (plant family); (common name) the white alder family
オトギリソウ科|オトギリソウか|Clusiaceae; Guttiferae; family of plants including St. John's worts and mangosteens
弟切草科|おとぎりそうか|Clusiaceae; Guttiferae; family of plants including St. John's worts and mangosteens
ミズキ科|ミズキか|Cornaceae (dogwood family of plants)
ヒノキ科|ヒノキか|Cupressaceae; family comprising the cypresses
ソテツ科|ソテツか|Cycadaceae; cycad family
カキノキ科|カキノキか|Ebenaceae; family of flowering plants including the ebony
ツツジ科|ツツジか|Ericaceae; heath family
マメ科|マメか|Fabaceae; pea family of plants
豆科|まめか|Fabaceae; pea family of plants
荳科|まめか|Fabaceae; pea family of plants
ブナ科|ブナか|Fagaceae (plant family); beech
イチョウ科|イチョウか|Ginkgoaceae; family of flowering plants whose only extant member is the ginkgo
マンサク科|マンサクか|Hamamelidaceae (plant family); witch-hazel
トチノキ科|トチノキか|Hippocastanaceae (plant family); horse-chestnut
アジサイ科|アジサイか|Hydrangeaceae; family comprising the hortensias (hydrangeas)
紫陽花科|あじさいか|Hydrangeaceae; family comprising the hortensias (hydrangeas)
学研|がっけん|study and research; scholarship and research
目をつける|めをつける|to have an eye on; to zero in on
目を付ける|めをつける|to have an eye on; to zero in on
祖先の霊|そせんのれい|ancestral spirits
クルミ科|クルミか|Juglandaceae (plant family); walnut family
アケビ科|アケビか|Lardizabalaceae; family of flowering plants
モクレン科|モクレンか|Magnoliaceae (plant family); magnolia
ノボタン科|ノボタンか|Melastomataceae (plant family); melastome family
クワ科|クワか|Moraceae; family of flowering plants
ヤマモモ科|ヤマモモか|Myricaceae (plant family); wax-myrtle
モクセイ科|モクセイか|Oleaceae (plant family); olive
マツ科|マツか|Pinaceae; family of pine trees
キンポウゲ科|キンポウゲか|Ranunculaceae; plant family containing the crowfoot
クロウメモドキ科|クロウメモドキか|Rhamnaceae; buckthorn family of plants
バラ科|バラか|Rosaceae (plant family); rose
ヤナギ科|ヤナギか|Salicaceae (plant family containing willows, poplars, aspens, etc.)
柳科|やなぎか|Salicaceae (plant family containing willows, poplars, aspens, etc.)
エゴノキ科|エゴノキか|Styracaceae; storax family of plants
イチイ科|イチイか|Taxaceae; yew family
ツバキ科|ツバキか|Theaceae; family of flowering plants comprising the camellias and other shrubs and trees
ジンチョウゲ科|ジンチョウゲか|Thymelaeaceae; family of flowering plants
シナノキ科|シナノキか|Tiliaceae; family of flowering plants, incl. the linden
ニレ科|ニレか|Ulmaceae (plant family); elm
クマツヅラ科|クマツヅラか|Verbenaceae; vervain family of plants
熊葛科|くまつづらか|Verbenaceae; vervain family of plants
一財産|いっざいさん|a fortune
一財産|ひとざいさん|a fortune
ひと財産|ひとざいさん|a fortune
櫟|くぬぎ|sawtooth oak (Quercus acutissima)
櫟|くのぎ|sawtooth oak (Quercus acutissima)
椚|くぬぎ|sawtooth oak (Quercus acutissima)
椚|くのぎ|sawtooth oak (Quercus acutissima)
橡|くぬぎ|sawtooth oak (Quercus acutissima)
橡|くのぎ|sawtooth oak (Quercus acutissima)
櫪|くぬぎ|sawtooth oak (Quercus acutissima)
櫪|くのぎ|sawtooth oak (Quercus acutissima)
クヌギ||sawtooth oak (Quercus acutissima)
榛|はしばみ|Asian hazel (Corylus heterophylla var. thunbergii); Siberian hazel
ハシバミ||Asian hazel (Corylus heterophylla var. thunbergii); Siberian hazel
間が抜ける|まがぬける|to look stupid; to have a critical lack
娘役|むすめやく|female part or role (drama, kabuki, etc.)
アメリカ山法師|アメリカやまぼうし|flowering dogwood (Cornus florida)
亜米利加山法師|アメリカやまぼうし|flowering dogwood (Cornus florida)
アメリカヤマボウシ||flowering dogwood (Cornus florida)
エロアニメ||erotic animation; pornographic animation; animation containing explicit sexual content
エロ・アニメ||erotic animation; pornographic animation; animation containing explicit sexual content
胡麻木|ごまぎ|Siebold's arrowwood (Viburnum sieboldii)
胡麻木|ごまき|Siebold's arrowwood (Viburnum sieboldii)
ゴマギ||Siebold's arrowwood (Viburnum sieboldii)
ゴマキ||Siebold's arrowwood (Viburnum sieboldii)
誰々|だれだれ|so-and-so
誰々|だれだれ|who?; which people?
誰誰|だれだれ|so-and-so
誰誰|だれだれ|who?; which people?
ドラマＣＤ|ドラマシーディー|voice dramatization on CD (usu. based on manga, anime, etc.)
陰間|かげま|homosexual prostitute who sold favors at banquets, etc. (late Edo)
陰間|かげま|actor-in-training in kabuki
蔭間|かげま|homosexual prostitute who sold favors at banquets, etc. (late Edo)
蔭間|かげま|actor-in-training in kabuki
若気|にやけ|male homosexual's partner
若気|にやけ|buttocks; anus
若気|にゃけ|male homosexual's partner
若気|にゃけ|buttocks; anus
檜葉|ひば|hinoki leaf
檜葉|ひば|hiba false arborvitae (species of cypress, Thujopsis dolabrata)
檜葉|ひば|small ornamental false cypress (i.e. a variety of hinoki or a related species)
桧葉|ひば|hinoki leaf
桧葉|ひば|hiba false arborvitae (species of cypress, Thujopsis dolabrata)
桧葉|ひば|small ornamental false cypress (i.e. a variety of hinoki or a related species)
ヒバ||hinoki leaf
ヒバ||hiba false arborvitae (species of cypress, Thujopsis dolabrata)
ヒバ||small ornamental false cypress (i.e. a variety of hinoki or a related species)
長い目|ながいめ|long-term view
外挿|がいそう|extrapolation
外そう|がいそう|extrapolation
光共振器|こうきょうしんき|optical resonator; optical cavity
回折限界|かいせつげんかい|diffraction limit
放射角|ほうしゃかく|radiation angle
可視光望遠鏡|かしこうぼうえんきょう|optical telescope
光陰極|こういんきょく|photocathode
熱陰極|ねついんきょく|hot cathode
気が差す|きがさす|to feel uneasy; to worry (about something)
濾水|ろすい|filtered water
濾水|ろすい|drainage
ろ水|ろすい|filtered water
ろ水|ろすい|drainage
濾水タンク|ろすいタンク|filter bed
ろ水タンク|ろすいタンク|filter bed
濾水器|ろすいき|water filter
ろ水器|ろすいき|water filter
ニュースサイト||news website; news site
ニュース・サイト||news website; news site
推して知るべし|おしてしるべし|can be easily guessed
押しも押されもしない|おしもおされもしない|of established reputation
おしゃま||precocity (esp. of a young girl); acting grown up
おしゃま||precocious young girl
おしゃまさん||precocious young girl
おしろい花|おしろいばな|marvel-of-Peru (Mirabilis jalapa); four-o'clock plant
白粉花|おしろいばな|marvel-of-Peru (Mirabilis jalapa); four-o'clock plant
オシロイバナ||marvel-of-Peru (Mirabilis jalapa); four-o'clock plant
含羞草|おじぎそう|mimosa (Mimosa pudica); sensitive plant; touch-me-not
含羞草|おじぎぐさ|mimosa (Mimosa pudica); sensitive plant; touch-me-not
お辞儀草|おじぎそう|mimosa (Mimosa pudica); sensitive plant; touch-me-not
お辞儀草|おじぎぐさ|mimosa (Mimosa pudica); sensitive plant; touch-me-not
御辞儀草|おじぎそう|mimosa (Mimosa pudica); sensitive plant; touch-me-not
御辞儀草|おじぎぐさ|mimosa (Mimosa pudica); sensitive plant; touch-me-not
オジギソウ||mimosa (Mimosa pudica); sensitive plant; touch-me-not
怖じける|おじける|to be afraid (of); to be frightened (of)
おじや||rice gruel containing vegetables, fish, etc., and seasoned with miso or soy sauce
間尺|けんじゃく|measuring rope with 'ken' (182cm) marked; measurement
間尺|ましゃく|measuring rope with 'ken' (182cm) marked; measurement
石牢|いしろう|jail (gaol) made by placing bars across a cave entrance; cave-prison
チャップン||splash; plop; kerplop
カソード||cathode
白膠木|ぬるで|Japanese sumac (Rhus javanica)
白膠木|ぬりで|Japanese sumac (Rhus javanica)
白膠木|ぬで|Japanese sumac (Rhus javanica)
ヌルデ||Japanese sumac (Rhus javanica)
紫木蓮|しもくれん|alternative name for lily magnolia (Magnolia quinquepeta, Magnolia liliiflora)
紫木蘭|しもくれん|alternative name for lily magnolia (Magnolia quinquepeta, Magnolia liliiflora)
