無限軌道|むげんきどう|continuous track; caterpillar track
婦女暴行|ふじょぼうこう|rape
普通社債|ふつうしゃさい|straight bond; SB
符号分割多元接続|ふごうぶんかつたげんせつぞく|code division multiple access; CDMA
負債総額|ふさいそうがく|aggregate amount of indebtedness
負債比率|ふさいひりつ|debt ratio
武器査察|ぶきささつ|weapons inspection
武器輸出禁止|ぶきゆしゅつきんし|arms embargo
武力攻撃|ぶりょくこうげき|armed attack
風薫る|かぜかおる|(subject to the) cool light breeze in early summer
風力エネルギー|ふうりょくエネルギー|wind power energy
風力タービン|ふうりょくタービン|wind turbine; windmill
副大統領候補|ふくだいとうりょうこうほ|candidate for vice-president; running mate (US)
福利厚生費|ふくりこうせいひ|welfare expense
複製防止技術|ふくせいぼうしぎじゅつ|anticopying technology
複占|ふくせん|duopoly
払込資本|はらいこみしほん|paid-in capital
分だけ|ぶんだけ|in proportion to; just as much as
分別ゴミ|ふんべつゴミ|dividing up rubbish into burnable and non-burnable
粉飾決算|ふんしょくけっさん|fraudulent accounting; window-dressing settlement of accounts; creative accounting
文具|ぶんぐ|stationery
文明諸国|ぶんめいしょこく|civilized world; civilised world
文明世界|ぶんめいせかい|civilized world; civilised world
兵站支援|へいたんしえん|logistical support
平均月収|へいきんげっしゅう|average monthly salary
平和維持部隊|へいわいじぶたい|peacekeeping force
平和主義憲法|へいわしゅぎけんぽう|pacifist constitution
米国預託証券|べいこくよたくしょうけん|American depositary receipt; ADR
偏執症患者|へんしつしょうかんじゃ|paranoid (person)
変性疾患|へんせいしっかん|degenerative disease
弁護士費用|べんごしひよう|legal fee
保育施設|ほいくしせつ|child-rearing facility
保険制度|ほけんせいど|insurance regime
保護政策|ほごせいさく|protectionism
歩兵師団|ほへいしだん|infantry division
補完医学|ほかんいがく|complementary medicine
補筆|ほひつ|retouch; correction; improvement
包括通商競争力法|ほうかつつうしょうきょうそうりょくほう|Omnibus Trade and Competition Act
包括的核実験禁止条約|ほうかつてきかくじっけんきんしじょうやく|Comprehensive Test Ban Treaty; CTBT
包括的提携|ほうかつてきていけい|comprehensive tie-up
放火殺人|ほうかさつじん|murder-arson
放射線医学|ほうしゃせんいがく|radiology
放射線治療|ほうしゃせんちりょう|radiation therapy
放射線被曝|ほうしゃせんひばく|radiation exposure
放射能攻撃|ほうしゃのうこうげき|radiological attack
放射能漏れ|ほうしゃのうもれ|radiation leakage
放送権|ほうそうけん|broadcasting rights
放送免許|ほうそうめんきょ|broadcast license; broadcast licence
法科大学院|ほうかだいがくいん|law school
法史学|ほうしがく|legal history (studies)
法制史学|ほうせいしがく|legal history (studies)
法秩序|ほうちつじょ|legal order
法廷証言|ほうていしょうげん|court testimony
法的行為|ほうてきこうい|legal action
芳香療法|ほうこうりょうほう|aromatherapy
飽和市場|ほうわいちば|saturated market
亡命希望者|ぼうめいきぼうしゃ|asylum seeker
傍論|ぼうろん|digression; dicta; dictums
暴力団抗争|ぼうりょくだんこうそう|gangland war
貿易保険|ぼうえきほけん|trade insurance
防衛能力|ぼうえいのうりょく|defense capability; defence capability
防弾ガラス|ぼうだんガラス|bulletproof glass
卜骨|ぼっこつ|fortune-telling using animal bones
勃起障害|ぼっきしょうがい|erectile dysfunction; ED
本社移転|ほんしゃいてん|headquarter shift
本真|ほんま|truth; reality
本間|ほんま|truth; reality
ホンマ||truth; reality
本土ミサイル防衛|ほんどミサイルぼうえい|national missile defense (US) (defence); NMD
魔術的経済学|まじゅつてきけいざいがく|voodoo economics
埋め立てゴミ|うめたてゴミ|landfill waste
慢性骨髄性白血病|まんせいこつずいせいはっけつびょう|chronic myelogenous (myeloid) leukemia; CML
慢性疾患|まんせいしっかん|chronic disease; chronic illness
未公開株式|みこうかいかぶしき|private equity
未払いローン|みはらいローン|outstanding loan
密入国斡旋業者|みつにゅうこくあっせんぎょうしゃ|people smuggler
民間部門|みんかんぶもん|private sector
民主改革|みんしゅかいかく|democratic reform
民主主義国家|みんしゅしゅぎこっか|democratic nation; democratic country
無印|むじるし|unlabeled; unbranded
無印商品|むじるししょうひん|unbranded goods
無菌性髄膜炎|むきんせいずいまくえん|aseptic meningitis
無血革命|むけつかくめい|bloodless revolution
無言電話|むごんでんわ|silent phone call (form of harassment)
無効票|むこうひょう|spoilt vote; faulty ballot
無罪放免|むざいほうめん|acquittal
無政府状態|むせいふじょうたい|anarchy; state of anarchy
無線インターネット接続|むせんインターネットせつぞく|wireless Internet access
無担保債務|むたんぽさいむ|unsecured debt
無党派層|むとうはそう|unaffiliated voters; floating voters; swinging voters
無法状態|むほうじょうたい|lawlessness
無料インターネット接続|むりょうインターネットせつぞく|free Internet access
名目経済成長率|めいもくけいざいせいちょうりつ|nominal economic growth rate
免疫系|めんえきけい|immune system
免疫細胞|めんえきさいぼう|immune cell
綿パン|めんパン|cotton pants
目ぼしい|めぼしい|main; chief; important; valuable; conspicuous; notable
問責決議|もんせきけつぎ|(decision to) censure (as issued by the upper house of parliament)
問題債権|もんだいさいけん|problem loans
夜間着陸訓練|やかんちゃくりくくんれん|night landing practice; NLP
野党指導者|やとうしどうしゃ|opposition leader
野党連合|やとうれんごう|opposition alliance
薬草療法|やくそうりょうほう|herbal therapy
薬物検査|やくぶつけんさ|drug test
薬物使用|やくぶつしよう|drug use
薬物治療|やくぶつちりょう|drug therapy
薬物統制|やくぶつとうせい|drug control
薬物不法所持|やくぶつふほうしょじ|drug possession
薬物乱用|やくぶつらんよう|drug abuse
油田掘削施設|ゆでんくっさくしせつ|oil rig
輸出関連株|ゆしゅつかんれんかぶ|export-related shares
輸出主導型経済|ゆしゅつしゅどうがたけいざい|export-driven economy
有機ゴミ|ゆうきゴミ|organic waste
有機汚染物質|ゆうきおせんぶっしつ|organic pollutant
有機水銀|ゆうきすいぎん|organic mercury
有権解釈|ゆうけんかいしゃく|official interpretation or construction (e.g. of a law)
有効成分|ゆうこうせいぶん|active ingredient
有罪答弁|ゆうざいとうべん|guilty plea
有線テレビ|ゆうせんテレビ|closed-circuit television
有線テレビ|ゆうせんテレビ|community antenna television; CATV
有線テレビ|ゆうせんテレビ|pay TV
予算削減|よさんさくげん|budget cut
予算配分|よさんはいぶん|budgetary allocation
予防的治療|よぼうてきちりょう|prophylactic treatment
余剰人員|よじょうじんいん|excess personnel; redundant staff
与党連立|よとうれんりつ|ruling coalition
預金保護|よきんほご|bank deposit guarantee
預金保証|よきんほしょう|bank deposit guarantee
預金利率|よきんりりつ|deposit interest rate
預貯金残高|よちょきんざんだか|bank balance
幼児死亡率|ようじしぼうりつ|infant mortality rate
幼児突然死症候群|ようじとつぜんししょうこうぐん|sudden infant death syndrome; SIDS
様子見ムード|ようすみムード|wait-and-see mood
溶血性連鎖球菌|ようけつせいれんさきゅうきん|hemolytic streptococcus
羊水穿刺|ようすいせんし|amniocentesis
要求払い預金|ようきゅうはらいよきん|demand deposit
陽電子放射断層撮影|ようでんしほうしゃだんそうさつえい|positron emission tomography; PET
利益幅|りえきはば|profit margin
利子支払い|りししはらい|interest payment
理学療法士|りがくりょうほうし|physiotherapist; physical therapist
